Protein IDs,Majority_protein_IDs,Protein names,Gene names,Fasta headers,APC1-1,APC1-2,APC1-3,BRE2-1,BRE2-2,BRE2-3,BY4741-1,BY4741-2,BY4741-3,CCR4-1,CCR4-2,CCR4-3,NOT3-1,NOT3-2,NOT3-3,ORM1-1,ORM1-2,ORM1-3,ORM2-1,ORM2-2,ORM2-3
A5Z2X5,A5Z2X5,UPF0495 protein YPR010C-A,YPR010C-A,>sp|A5Z2X5|YP010_YEAST UPF0495 protein YPR010C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR010C-A PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D6VTK4,D6VTK4,Pheromone alpha factor receptor,STE2,>sp|D6VTK4|STE2_YEAST Pheromone alpha factor receptor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE2 PE=1 SV=2,0,0,1,1,2,2,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0
O13329,O13329,DNA replication fork-blocking protein FOB1,FOB1,>sp|O13329|FOB1_YEAST DNA replication fork-blocking protein FOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FOB1 PE=1 SV=2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
O13516,O13516,40S ribosomal protein S9-A,RPS9A,>sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9A PE=1 SV=3,17,12,16,17,21,20,20,21,19,16,13,14,20,11,12,15,8,16,14,11,16
O13563,O13563,26S proteasome regulatory subunit RPN13,RPN13,>sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN13 PE=1 SV=1,2,2,3,2,2,2,2,3,2,2,3,2,2,2,3,0,1,1,1,1,1
O13585,O13585,Dilute domain-containing protein YPR089W,,>sp|O13585|YP089_YEAST Dilute domain-containing protein YPR089W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR089W PE=1 SV=2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O14455,O14455,60S ribosomal protein L36-B,RPL36B,>sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36B PE=1 SV=3,12,7,12,11,14,13,12,11,12,13,7,8,7,11,8,15,9,10,10,14,10
O14467,O14467,Multiprotein-bridging factor 1,MBF1,>sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MBF1 PE=1 SV=2,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
O94742,O94742,26S proteasome complex subunit SEM1,SEM1,>sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEM1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P00044,P00044,Cytochrome c iso-1,CYC1,>sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYC1 PE=1 SV=2,3,0,1,2,2,3,2,3,3,3,4,2,2,1,3,2,2,3,2,2,4
P00045,P00045,Cytochrome c iso-2,CYC7,>sp|P00045|CYC7_YEAST Cytochrome c iso-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYC7 PE=1 SV=1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P00330;P00331,P00330,Alcohol dehydrogenase 1,ADH1,>sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5,22,22,17,19,17,16,17,16,15,16,19,17,15,17,15,15,13,16,17,13,18
P00358,P00358,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,>sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH2 PE=1 SV=3,2,2,0,4,5,2,0,0,0,1,2,2,2,3,2,0,0,0,0,0,0
P00359,P00359,Glyceraldehyde-3-phosphate dehydrogenase 3,TDH3,>sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH3 PE=1 SV=3,44,38,41,43,43,40,30,27,27,35,31,30,29,33,30,24,19,26,25,22,26
P00360,P00360,Glyceraldehyde-3-phosphate dehydrogenase 1,TDH1,>sp|P00360|G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH1 PE=1 SV=3,1,0,0,2,2,2,4,3,4,0,0,1,0,1,0,4,1,5,5,4,6
