Protein ID,Protein_ID,Entry Name,Description,Description1,AIFM1_1,AIFM1_2,AIFM1_3,AIFM1_4,AKIP_1,AKIP_2,AKIP_3,AKIP_4,ARP2_1,ARP2_2,ARP2_3,ARP2_4,ARP3B_1,ARP3B_2,ARP3B_3,ARP3B_4,ARPC1B_1,ARPC1B_2,ARPC1B_3,ARPC1B_4,BET1_1,BET1_2,BET1_3,BET1_4
A0A096LP01,A0A096LP01,SIM26_HUMAN,Small integral membrane protein 26,Small integral membrane protein 26,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A6YYG2,A0A0A6YYG2,TVB66_HUMAN,T cell receptor beta variable 6-6,T cell receptor beta variable 6-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4J2D5,A0A0B4J2D5,GAL3B_HUMAN,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial","Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1W2PQ72,A0A1W2PQ72,MSD7_HUMAN,Myb/SANT-like DNA-binding domain-containing protein 7,Myb/SANT-like DNA-binding domain-containing protein 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A3B3IU46,A0A3B3IU46,RMACL_HUMAN,RNA guanine-N7 methyltransferase-activating subunit-like protein,RNA guanine-N7 methyltransferase-activating subunit-like protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0AVT1,A0AVT1,UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6,Ubiquitin-like modifier-activating enzyme 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0FGR8,A0FGR8,ESYT2_HUMAN,Extended synaptotagmin-2,Extended synaptotagmin-2,0,0,0,2,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,3,5,4,1
A0JLT2,A0JLT2,MED19_HUMAN,Mediator of RNA polymerase II transcription subunit 19,Mediator of RNA polymerase II transcription subunit 19,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0JNW5,A0JNW5,BLT3B_HUMAN,Bridge-like lipid transfer protein family member 3B,Bridge-like lipid transfer protein family member 3B,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1
A0MZ66,A0MZ66,SHOT1_HUMAN,Shootin-1,Shootin-1,2,4,1,2,13,10,12,9,7,4,3,5,2,2,1,3,6,5,6,2,0,0,0,0
A1A4S6,A1A4S6,RHG10_HUMAN,Rho GTPase-activating protein 10,Rho GTPase-activating protein 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1KXE4,A1KXE4,F168B_HUMAN,Myelin-associated neurite-outgrowth inhibitor,Myelin-associated neurite-outgrowth inhibitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L0T0,A1L0T0,HACL2_HUMAN,2-hydroxyacyl-CoA lyase 2,2-hydroxyacyl-CoA lyase 2,2,0,2,0,4,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,3,3,1,4
A1L170,A1L170,CA226_HUMAN,Uncharacterized protein C1orf226,Uncharacterized protein C1orf226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
A1L188,A1L188,NDUF8_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L390,A1L390,PKHG3_HUMAN,Pleckstrin homology domain-containing family G member 3,Pleckstrin homology domain-containing family G member 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
